Country,FIFA
Argentina,1503
Belgium,1384
Colombia,1328
Germany,1310
Chile,1293
Spain,1267
Brazil,1257
Portugal,1181
Uruguay,1150
Austria,1077
England,1069
Italy,982
Ecuador,978
Netherlands,959
Switzerland,948
Mexico,942
France,925
Turkey,919
Ukraine,894
Hungary,886
Bosnia and Herzegovina,886
Romania,878
Costa Rica,853
Slovakia,852
Northern Ireland,851
Wales,846
Croatia,842
Poland,842
Russia,828
Czech Republic,815
USA,803
Algeria,786
Republic of Ireland,768
Iceland,751
Sweden,735
Côte d'Ivoire,732
Ghana,728
Denmark,697
IR Iran,688
Greece,678
Senegal,677
Albania,667
Scotland,659
Paraguay,638
Egypt,631
Jamaica,630
Tunisia,629
Peru,623
Cape Verde Islands,620
Korea Republic,603
Norway,593
Congo DR,589
Japan,581
Serbia,576
Guinea,573
Panama,572
Slovenia,567
Cameroon,566
Australia,563
Congo,560
Nigeria,559
Morocco,555
Mali,554
Trinidad and Tobago,550
Saudi Arabia,545
Uzbekistan,544
Finland,536
South Africa,529
Bulgaria,518
United Arab Emirates,517
Israel,513
Uganda,500
Burkina Faso,479
Haiti,478
Benin,473
Equatorial Guinea,466
Venezuela,456
Belarus,442
Zambia,436
Jordan,434
China PR,423
Bolivia,420
Antigua and Barbuda,413
Cyprus,407
Qatar,407
Honduras,393
Botswana,391
Gabon,388
Faroe Islands,383
Montenegro,382
Guatemala,378
St. Kitts and Nevis,374
Canada,363
Estonia,360
Togo,358
Central African Republic,351
Mozambique,349
Korea DPR,348
El Salvador,342
Oman,338
Syria,336
Iraq,334
Rwanda,332
Latvia,330
Nicaragua,329
Chad,326
Malawi,320
Sierra Leone,317
Madagascar,317
Armenia,315
Kyrgyz Republic,313
Kazakhstan,312
Palestine,311
Belize,307
Guinea-Bissau,303
Zimbabwe,303
Niger,302
Thailand,302
Swaziland,302
Philippines,299
Mauritania,294
Libya,293
Angola,292
Liberia,292
Ethiopia,288
Cuba,285
Lithuania,282
Sudan,278
Kenya,276
Guyana,271
Bahrain,271
Burundi,269
Vietnam,266
Turkmenistan,264
Namibia,263
Tanzania,261
Georgia,260
Azerbaijan,252
FYR Macedonia,250
Barbados,245
Kuwait,241
Mauritius,239
Hong Kong,233
Aruba,233
St. Lucia,225
Luxembourg,221
New Zealand,220
St. Vincent / Grenadines,211
Singapore,207
Grenada,203
Lebanon,199
Sao Tome e Principe,197
Dominican Republic,193
Curacao,191
Lesotho,185
Afghanistan,184
South Sudan,174
Puerto Rico,167
Moldova,165
Guam,164
Myanmar,161
Comoros,158
India,151
Tajikistan,150
Gambia,145
Malta,141
Bermuda,135
Liechtenstein,128
American Samoa,128
Cook Islands,128
Samoa,128
Dominica,124
Malaysia,116
Laos,115
Maldives,115
Solomon Islands,110
Timor-Leste,106
Yemen,102
Tahiti,96
Seychelles,94
Bangladesh,93
Nepal,77
New Caledonia,74
Cambodia,73
Vanuatu,72
Fiji,68
Indonesia,65
Bhutan,64
Sri Lanka,58
Suriname,57
Chinese Taipei,56
Pakistan,54
Papua New Guinea,51
US Virgin Islands,44
Montserrat,44
Macau,42
Brunei Darussalam,37
Turks and Caicos Islands,33
Cayman Islands,21
San Marino,20
British Virgin Islands,16
Andorra,11
Mongolia,4
Anguilla,0
Bahamas,0
Djibouti,0
Eritrea,0
Somalia,0
Tonga,0
