HomeTeam,HomeGoals,AwayTeam,AwayGoals
Russia,5,Saudi Arabia,0
Egypt,0,Uruguay,1
Morocco,0,IR Iran,1
Portugal,3,Spain,3
France,2,Australia,1
Argentina,1,Iceland,1
Peru,0,Denmark,1
Croatia,2,Nigeria,0
Costa Rica,0,Serbia,1
Germany,0,Mexico,1
Brazil,1,Switzerland,1
Sweden,1,Korea Republic,0
Belgium,3,Panama,0
Tunisia,1,England,2
Colombia,1,Japan,2
Poland,1,Senegal,2
Russia,3,Egypt,1
Portugal,1,Morocco,0
Uruguay,1,Saudi Arabia,0
IR Iran,0,Spain,1
Denmark,1,Australia,1
France,1,Peru,0
Argentina,0,Croatia,3
Brazil,2,Costa Rica,0
Nigeria,2,Iceland,0
Serbia,1,Switzerland,2
Belgium,5,Tunisia,2
Korea Republic,1,Mexico,2
Germany,2,Sweden,1
England,6,Panama,1
Japan,2,Senegal,2
Poland,0,Colombia,3
Uruguay,3,Russia,0
Saudi Arabia,2,Egypt,1
Spain,2,Morocco,2
IR Iran,1,Portugal,1
Australia,0,Peru,2
Denmark,0,France,0
Nigeria,1,Argentina,2
Iceland,1,Croatia,2
Korea Republic,2,Germany,0
Mexico,0,Sweden,3
Serbia,0,Brazil,2
Switzerland,2,Costa Rica,2
Japan,0,Poland,1
Senegal,0,Colombia,1
Panama,1,Tunisia,2
England,0,Belgium,1
France,4,Argentina,3
Uruguay,2,Portugal,1
Spain,1,Russia,1
Croatia,1,Denmark,1
Brazil,2,Mexico,0
Belgium,3,Japan,2
Sweden,1,Switzerland,0
Colombia,1,England,1
Uruguay,0,France,2
Brazil,1,Belgium,2
Sweden,0,England,2
Russia,2,Croatia,2
France,1,Belgium,0
Croatia,2,England,1
Belgium,2,England,0
France,4,Croatia,2
